id	message
ABOUT_TOO_LONG	The provided about/bio text is too long.
ACCESS_TOKEN_EXPIRED	The bot token has expired.
ACCESS_TOKEN_INVALID	The bot access token is invalid.
ADDRESS_INVALID	The specified geopoint address is invalid.
ADMINS_TOO_MUCH	The chat has too many administrators.
ADMIN_ID_INVALID	The specified admin ID is invalid.
ADMIN_RANK_EMOJI_NOT_ALLOWED	Emoji are not allowed in custom administrator titles.
ADMIN_RANK_INVALID	The custom administrator title is invalid or too long.
ADMIN_RIGHTS_EMPTY	The chatAdminRights constructor passed in keyboardButtonRequestPeer.peer_type.user_admin_rights has no rights set (i.e. flags is 0).
AD_EXPIRED	The ad has expired (too old or not found).
ALBUM_PHOTOS_TOO_MANY	Too many photos were included in the album.
API_ID_INVALID	The api_id/api_hash combination is invalid.
API_ID_PUBLISHED_FLOOD	You are using an API key that is limited on the server side because it was published somewhere.
ARTICLE_TITLE_EMPTY	The title of the article is empty.
AUDIO_CONTENT_URL_EMPTY	The remote URL specified in the content field is empty.
AUDIO_TITLE_EMPTY	The title attribute of the audio is empty.
AUTH_BYTES_INVALID	The provided authorization bytes are invalid.
AUTH_TOKEN_ALREADY_ACCEPTED	The specified auth token was already used.
AUTH_TOKEN_EXCEPTION	An error occurred while importing the auth token.
AUTH_TOKEN_EXPIRED	The provided authorization token has expired and the updated QR-code must be re-scanned.
AUTH_TOKEN_INVALID	An invalid authorization token was provided.
AUTH_TOKEN_INVALID2	An invalid authorization token was provided.
AUTH_TOKEN_INVALIDX	The specified auth token is invalid.
AUTOARCHIVE_NOT_AVAILABLE	This feature is not yet enabled for your account due to it not receiving too many private messages from strangers.
BALANCE_TOO_LOW	The transaction cannot be completed because the current [Telegram Stars balance](https://core.telegram.org/api/stars) is too low.
BANK_CARD_NUMBER_INVALID	The specified credit card number is invalid.
BANNED_RIGHTS_INVALID	You provided a set of restrictions that is invalid.
BASE_PORT_LOC_INVALID	The base port location is invalid.
BIRTHDAY_INVALID	An invalid age was specified, must be between 0 and 150 years.
BOOSTS_EMPTY	No boost slots were specified.
BOOSTS_REQUIRED	The specified channel must first be [boosted by its users](https://core.telegram.org/api/boost) in order to perform this action.
BOOST_NOT_MODIFIED	You're already [boosting](https://core.telegram.org/api/boost) the specified channel.
BOOST_PEER_INVALID	The specified `boost_peer` is invalid.
BOTS_TOO_MUCH	There are too many bots in this chat/channel.
BOT_ALREADY_DISABLED	The connected business bot was already disabled for the specified peer.
BOT_APP_BOT_INVALID	The bot_id passed in the inputBotAppShortName constructor is invalid.
BOT_APP_INVALID	The specified bot app is invalid.
BOT_APP_SHORTNAME_INVALID	The specified bot app short name is invalid.
BOT_BUSINESS_MISSING	The specified bot is not a business bot (the [user](https://core.telegram.org/constructor/user).`bot_business` flag is not set).
BOT_CHANNELS_NA	Bots can't edit admin privileges.
BOT_COMMAND_DESCRIPTION_INVALID	The specified command description was empty, too long or had invalid characters.
BOT_COMMAND_INVALID	The specified command is invalid.
BOT_DOMAIN_INVALID	The domain used for the auth button does not match the one configured in @BotFather.
BOT_GAMES_DISABLED	Bot games cannot be used in this type of chat.
BOT_GROUPS_BLOCKED	This bot can't be added to groups.
BOT_INLINE_DISABLED	The inline feature of this bot is disabled.
BOT_INVALID	This is not a valid bot.
BOT_INVOICE_INVALID	The specified invoice is invalid.
BOT_METHOD_INVALID	The specified method cannot be used by bots.
BOT_MISSING	This method can only be run by a bot.
BOT_NOT_CONNECTED_YET	No [business bot](https://core.telegram.org/api/business#connected-bots) is connected to the currently logged in user.
BOT_ONESIDE_NOT_AVAIL	Bots can't pin messages in private chats just for themselves.
BOT_PAYMENTS_DISABLED	Please enable bot payments in botfather before calling this method.
BOT_POLLS_DISABLED	Sending polls by bots has been disabled.
BOT_RESPONSE_TIMEOUT	The bot did not answer to the callback query in time.
BOT_SCORE_NOT_MODIFIED	The bot score wasn't modified.
BOT_WEBVIEW_DISABLED	A webview cannot be opened in the specified conditions: emitted for example if `from_bot_menu` or `url` are set and `peer` is not the chat with the bot.
BROADCAST_CALLS_DISABLED	Broadcast calls disabled.
BROADCAST_ID_INVALID	The channel is invalid.
BROADCAST_PUBLIC_VOTERS_FORBIDDEN	Polls with public voters cannot be sent in channels.
BROADCAST_REQUIRED	This method can only be used with a channel.
BUSINESS_BOT_MISSING	The business bot is missing.
BUSINESS_CONNECTION_INVALID	The business connection is invalid.
BUSINESS_CONNECTION_NOT_ALLOWED	This business connection is not allowed.
BUSINESS_PEER_INVALID	Messages can't be set to the specified peer through the current [business connection](https://core.telegram.org/api/business#connected-bots).
BUSINESS_PEER_USAGE_MISSING	You cannot send a message to a user through a [business connection](https://core.telegram.org/api/business#connected-bots) if the user hasn't recently contacted us.
BUSINESS_RECIPIENTS_EMPTY	You didn't set any flag in inputBusinessBotRecipients, thus the bot cannot work with *any* peer.
BUSINESS_RECIPIENTS_INVALID	The specified inputBusinessBotRecipients is invalid.
BUSINESS_WORK_HOURS_EMPTY	No work hours were specified.
BUSINESS_WORK_HOURS_PERIOD_INVALID	The specified work hours are invalid, see [here »](https://core.telegram.org/api/business#opening-hours) for the exact requirements.
BUTTON_COPY_TEXT_INVALID	The specified [keyboardButtonCopy](https://core.telegram.org/constructor/keyboardButtonCopy).`copy_text` is invalid.
BUTTON_DATA_INVALID	The button callback data is invalid or too large.
BUTTON_ID_INVALID	The specified button_id is invalid.
BUTTON_POS_INVALID	The position of one of the keyboard buttons is invalid (i.e. a Game or Pay button not in the first position, and so on...).
BUTTON_TEXT_INVALID	The specified button text is invalid.
BUTTON_TYPE_INVALID	The type of one of the buttons you provided is invalid.
BUTTON_URL_INVALID	The button url is invalid.
BUTTON_USER_INVALID	The user_id passed to inputKeyboardButtonUserProfile is invalid!.
BUTTON_USER_PRIVACY_RESTRICTED	The privacy setting of the user specified in a [inputKeyboardButtonUserProfile](https://core.telegram.org/constructor/inputKeyboardButtonUserProfile) button do not allow creating such a button.
CALL_ALREADY_ACCEPTED	The call was already accepted.
CALL_ALREADY_DECLINED	The call was already declined.
CALL_OCCUPY_FAILED	The call failed because the user is already making another call.
CALL_PEER_INVALID	The provided call peer object is invalid.
CALL_PROTOCOL_FLAGS_INVALID	Call protocol flags invalid.
CDN_METHOD_INVALID	You can't call this method in a CDN DC.
CHANNELS_ADMIN_LOCATED_TOO_MUCH	The user has reached the limit of public geogroups.
CHANNELS_ADMIN_PUBLIC_TOO_MUCH	You're administrator of too many public channels.
CHANNELS_TOO_MUCH	You have joined too many channels/supergroups.
CHANNEL_ADD_INVALID	Internal error.
CHANNEL_BANNED	The channel is banned.
CHANNEL_FORUM_MISSING	This supergroup is not a forum.
CHANNEL_ID_INVALID	The specified supergroup ID is invalid.
CHANNEL_INVALID	The provided channel is invalid.
CHANNEL_MONOFORUM_UNSUPPORTED	You cannot use this method in direct chats.
CHANNEL_PARICIPANT_MISSING	The current user is not in the channel.
CHANNEL_PRIVATE	You haven't joined this channel/supergroup.
CHANNEL_TOO_BIG	This channel is too big.
CHANNEL_TOO_LARGE	This channel is too large.
CHARGE_ALREADY_REFUNDED	This transaction was already refunded.
CHARGE_NOT_FOUND	The charge id was not found.
CHATLINKS_TOO_MUCH	Too many [business chat links](https://core.telegram.org/api/business#business-chat-links) were created, please delete some older links.
CHATLINK_SLUG_EMPTY	The specified slug is empty.
CHATLINK_SLUG_EXPIRED	The specified [business chat link](https://core.telegram.org/api/business#business-chat-links) has expired.
CHATLISTS_TOO_MUCH	You have created too many folder links, hitting the `chatlist_invites_limit_default`/`chatlist_invites_limit_premium` [limits »](https://core.telegram.org/api/config#chatlist-invites-limit-default).
CHATLIST_EXCLUDE_INVALID	The specified `exclude_peers` are invalid.
CHAT_ABOUT_NOT_MODIFIED	The chat about text was not modified because you tried to edit it using the same content.
CHAT_ABOUT_TOO_LONG	The chat about text is too long.
CHAT_ADMIN_REQUIRED	You must be an admin in this chat to do this.
CHAT_DISCUSSION_UNALLOWED	You can't enable forum topics in a discussion group linked to a channel.
CHAT_FORWARDS_RESTRICTED	You can't forward messages from a protected chat.
CHAT_ID_EMPTY	The provided chat id is empty.
CHAT_ID_INVALID	The chat id being used is invalid or not known yet. Make sure you see the chat before interacting with it.
CHAT_INVALID	The chat is invalid.
CHAT_INVITE_PERMANENT	You can't set an expiration date on permanent invite links.
CHAT_LINK_EXISTS	The action failed because the supergroup is linked to a channel.
CHAT_MEMBER_ADD_FAILED	Could not add participants.
CHAT_NOT_MODIFIED	The chat settings (title, permissions, photo, etc..) were not modified because you tried to edit them using the same content.
CHAT_PUBLIC_REQUIRED	You can only enable join requests in public groups.
CHAT_RESTRICTED	You can't send messages in this chat, you were restricted.
CHAT_REVOKE_DATE_UNSUPPORTED	`min_date` and `max_date` are not available for using with non-user peers.
CHAT_SEND_INLINE_FORBIDDEN	You cannot use inline bots to send messages in this chat.
CHAT_TITLE_EMPTY	The chat title is empty.
CHAT_TOO_BIG	This method is not available for groups with more than `chat_read_mark_size_threshold` members, [see client configuration »](https://core.telegram.org/api/config#client-configuration).
CODE_EMPTY	The provided code is empty.
CODE_HASH_INVALID	The provided code hash invalid.
CODE_INVALID	The provided code is invalid (i.e. from email).
COLLECTIBLE_INVALID	The specified collectible is invalid.
COLLECTIBLE_NOT_FOUND	The specified collectible could not be found.
COLOR_INVALID	The specified color id is invalid.
CONNECTION_API_ID_INVALID	The provided API id is invalid.
CONNECTION_APP_VERSION_EMPTY	App version is empty.
CONNECTION_DEVICE_MODEL_EMPTY	The specified device model is empty.
CONNECTION_ID_INVALID	The specified connection ID is invalid.
CONNECTION_LANG_PACK_INVALID	The specified language pack is invalid.
CONNECTION_LAYER_INVALID	The connection layer is invalid. Missing InvokeWithLayer-InitConnection call.
CONNECTION_NOT_INITED	Please initialize the connection using initConnection before making queries.
CONNECTION_SYSTEM_EMPTY	The specified system version is empty.
CONNECTION_SYSTEM_LANG_CODE_EMPTY	The specified system language code is empty.
CONTACT_ADD_MISSING	Contact to add is missing.
CONTACT_ID_INVALID	The provided contact ID is invalid.
CONTACT_MISSING	The specified user is not a contact.
CONTACT_NAME_EMPTY	The provided contact name is empty.
CONTACT_REQ_MISSING	Missing contact request.
CREATE_CALL_FAILED	An error occurred while creating the call.
CURRENCY_TOTAL_AMOUNT_INVALID	The total amount of all prices is invalid.
CUSTOM_REACTIONS_TOO_MANY	Too many custom reactions were specified.
DATA_INVALID	The encrypted data is invalid.
DATA_JSON_INVALID	The provided JSON data is invalid.
DATA_TOO_LONG	The data is too long.
DATE_EMPTY	The date argument is empty.
DC_ID_INVALID	The provided dc_id is invalid.
DH_G_A_INVALID	The g_a parameter is invalid.
DOCUMENT_INVALID	The specified document is invalid.
EFFECT_ID_INVALID	The specified effect id is invalid.
EMAIL_CODE_EMPTY	The email code is empty.
EMAIL_HASH_EXPIRED	The email hash expired and cannot be used to verify it.
EMAIL_INVALID	The specified email is invalid.
EMAIL_NOT_ALLOWED	The specified email cannot be used to complete the operation.
EMAIL_NOT_SETUP	In order to change the login email with emailVerifyPurposeLoginChange, an existing login email must already be set using emailVerifyPurposeLoginSetup.
EMAIL_UNCONFIRMED	Email unconfirmed.
EMAIL_UNCONFIRMED_X	The provided email isn't confirmed, {value} is the length of the verification code that was just sent to the email: use [account.verifyEmail](https://core.telegram.org/method/account.verifyEmail) to enter the received verification code and enable the recovery email.
EMAIL_VERIFY_EXPIRED	The verification email has expired.
EMOJI_INVALID	The specified theme emoji is valid.
EMOJI_MARKUP_INVALID	The specified `video_emoji_markup` was invalid.
EMOJI_NOT_MODIFIED	The theme wasn't changed.
EMOTICON_EMPTY	The provided emoji parameter is empty.
EMOTICON_INVALID	The specified emoji is invalid.
EMOTICON_STICKERPACK_MISSING	The emoticon sticker pack you are trying to obtain is missing.
ENCRYPTED_MESSAGE_INVALID	The special binding message (bind_auth_key_inner) contains invalid data.
ENCRYPTION_ALREADY_ACCEPTED	The secret chat was already accepted.
ENCRYPTION_ALREADY_DECLINED	The secret chat was already declined.
ENCRYPTION_DECLINED	The secret chat was declined.
ENCRYPTION_ID_INVALID	The provided secret chat id is invalid.
